id,z,voxel_um,phi_abs_error,phi_bias,phi_pred,phi_real,mae,rmse,pearson,sigma_phi_noise,offset,scale,beta,d100,phi_pred_debiased,phi_abs_error_debiased,phi_abs_error_debiased_oracle
img_000.png,5.0,3.689582,0.3368091583251953,-0.3368091583251953,16.164682388305664,16.50149154663086,14.336005210876465,18.606765747070312,0.8145646459687472,12.92148515046923,17266.614103300002,21205.407,30.0,13852.5,17.186682388305663,0.6851908416748032,0.8685594558715835
img_001.png,9.0,3.689582,0.8039445877075195,0.8039445877075195,16.229047775268555,15.425103187561035,14.461898803710938,18.908077239990234,0.8113709073391853,12.92148515046923,17266.614103300002,21205.407,30.0,13852.5,17.251047775268553,1.825944587707518,2.0093132019042983
img_002.png,14.0,3.689582,0.8758049011230469,-0.8758049011230469,16.184490203857422,17.06029510498047,14.491947174072266,18.879764556884766,0.8124524329466225,12.92148515046923,17266.614103300002,21205.407,30.0,13852.5,17.20649020385742,0.1461950988769516,0.3295637130737319
img_003.png,19.0,3.689582,0.40736961364746094,0.40736961364746094,16.34589195251465,15.938522338867188,14.245317459106445,18.5307559967041,0.8150660969961627,12.92148515046923,17266.614103300002,21205.407,30.0,13852.5,17.367891952514647,1.4293696136474594,1.6127382278442397
img_004.png,23.0,3.689582,0.8135871887207031,0.8135871887207031,16.298051834106445,15.484464645385742,14.258525848388672,18.530179977416992,0.8157626770005233,12.92148515046923,17266.614103300002,21205.407,30.0,13852.5,17.320051834106444,1.8355871887207016,2.018955802917482
img_005.png,28.0,3.689582,1.3309087753295898,1.3309087753295898,16.4404296875,15.10952091217041,14.49576187133789,18.901966094970703,0.8143053578722852,12.92148515046923,17266.614103300002,21205.407,30.0,13852.5,17.4624296875,2.3529087753295883,2.5362773895263686
img_006.png,33.0,3.689582,1.3814868927001953,1.3814868927001953,16.38289451599121,15.001407623291016,14.049120903015137,18.39192771911621,0.8185786052777795,12.92148515046923,17266.614103300002,21205.407,30.0,13852.5,17.40489451599121,2.4034868927001938,2.586855506896974
img_007.png,37.0,3.689582,0.2695159912109375,0.2695159912109375,16.40202522277832,16.132509231567383,13.6760835647583,17.811782836914062,0.8216638226258488,12.92148515046923,17266.614103300002,21205.407,30.0,13852.5,17.42402522277832,1.291515991210936,1.4748846054077163
img_008.png,42.0,3.689582,0.20186805725097656,-0.20186805725097656,16.493942260742188,16.695810317993164,13.83853816986084,18.09170150756836,0.8225571280183617,12.92148515046923,17266.614103300002,21205.407,30.0,13852.5,17.515942260742186,0.8201319427490219,1.0035005569458022
img_009.png,47.0,3.689582,0.5752468109130859,-0.5752468109130859,16.468645095825195,17.04389190673828,14.12752628326416,18.376903533935547,0.8230500873774858,12.92148515046923,17266.614103300002,21205.407,30.0,13852.5,17.490645095825194,0.4467531890869125,0.6301218032836928
img_010.png,51.0,3.689582,0.13364601135253906,0.13364601135253906,16.517961502075195,16.384315490722656,14.13809585571289,18.460485458374023,0.8195666010734445,12.92148515046923,17266.614103300002,21205.407,30.0,13852.5,17.539961502075194,1.1556460113525375,1.3390146255493178
img_011.png,56.0,3.689582,1.0342483520507812,-1.0342483520507812,16.65388298034668,17.68813133239746,14.287477493286133,18.566497802734375,0.8271418560344402,12.92148515046923,17266.614103300002,21205.407,30.0,13852.5,17.675882980346678,0.012248352050782785,0.17112026214599751
img_012.png,61.0,3.689582,0.07095909118652344,0.07095909118652344,16.74830436706543,16.677345275878906,14.579694747924805,19.05643081665039,0.827890921696635,12.92148515046923,17266.614103300002,21205.407,30.0,13852.5,17.770304367065428,1.092959091186522,1.2763277053833022
img_013.png,65.0,3.689582,1.0056304931640625,-1.0056304931640625,16.56078338623047,17.56641387939453,14.460856437683105,18.902509689331055,0.8133474997698645,12.92148515046923,17266.614103300002,21205.407,30.0,13852.5,17.582783386230467,0.016369506835935965,0.19973812103271626
img_014.png,70.0,3.689582,0.2728233337402344,-0.2728233337402344,16.40484619140625,16.677669525146484,14.463558197021484,18.81998062133789,0.8178111796714767,12.92148515046923,17266.614103300002,21205.407,30.0,13852.5,17.42684619140625,0.7491766662597641,0.9325452804565444
img_015.png,75.0,3.689582,1.3020401000976562,-1.3020401000976562,16.55754852294922,17.859588623046875,14.27076530456543,18.571537017822266,0.8240697956093191,12.92148515046923,17266.614103300002,21205.407,30.0,13852.5,17.579548522949217,0.2800401000976578,0.09667148590087749
