id,base_id,z,corruption,severity,level,phi_real,voxel_um,offset,scale,beta,d100,sigma_phi_noise,ood_score
img_0000.png,img_094.png,720,clean,0,0.0,13.590055465698242,3.0,7381.490499187176,4797.057954421177,265.5,3133.69431607666,3.50100833990674,0.17582054436206818
img_0001.png,img_094.png,720,brightness,1,0.02,13.590055465698242,3.0,7381.490499187176,4797.057954421177,265.5,3133.69431607666,3.50100833990674,0.17401202023029327
img_0002.png,img_094.png,720,brightness,2,0.05,13.590055465698242,3.0,7381.490499187176,4797.057954421177,265.5,3133.69431607666,3.50100833990674,0.17210379242897034
img_0003.png,img_094.png,720,brightness,3,0.1,13.590055465698242,3.0,7381.490499187176,4797.057954421177,265.5,3133.69431607666,3.50100833990674,0.17186927795410156
img_0004.png,img_094.png,720,brightness,4,0.2,13.590055465698242,3.0,7381.490499187176,4797.057954421177,265.5,3133.69431607666,3.50100833990674,0.17058777809143066
img_0005.png,img_094.png,720,brightness,5,0.35,13.590055465698242,3.0,7381.490499187176,4797.057954421177,265.5,3133.69431607666,3.50100833990674,0.20533424615859985
img_0006.png,img_094.png,720,contrast,1,0.9,13.590055465698242,3.0,7381.490499187176,4797.057954421177,265.5,3133.69431607666,3.50100833990674,0.17396873235702515
img_0007.png,img_094.png,720,contrast,2,0.75,13.590055465698242,3.0,7381.490499187176,4797.057954421177,265.5,3133.69431607666,3.50100833990674,0.17510050535202026
img_0008.png,img_094.png,720,contrast,3,0.6,13.590055465698242,3.0,7381.490499187176,4797.057954421177,265.5,3133.69431607666,3.50100833990674,0.17406582832336426
img_0009.png,img_094.png,720,contrast,4,0.45,13.590055465698242,3.0,7381.490499187176,4797.057954421177,265.5,3133.69431607666,3.50100833990674,0.17352551221847534
img_0010.png,img_094.png,720,contrast,5,0.3,13.590055465698242,3.0,7381.490499187176,4797.057954421177,265.5,3133.69431607666,3.50100833990674,0.17791414260864258
img_0011.png,img_094.png,720,noise,1,0.01,13.590055465698242,3.0,7381.490499187176,4797.057954421177,265.5,3133.69431607666,3.50100833990674,0.18241477012634277
