id,base_id,corruption,severity,phi_pred,mae,rmse,pearson
img_0000.png,img_094.png,clean,0,,,,
img_0001.png,img_094.png,brightness,1,,,,
img_0002.png,img_094.png,brightness,2,,,,
img_0003.png,img_094.png,brightness,3,,,,
img_0004.png,img_094.png,brightness,4,,,,
img_0005.png,img_094.png,brightness,5,,,,
img_0006.png,img_094.png,contrast,1,,,,
img_0007.png,img_094.png,contrast,2,,,,
img_0008.png,img_094.png,contrast,3,,,,
img_0009.png,img_094.png,contrast,4,,,,
img_0010.png,img_094.png,contrast,5,,,,
img_0011.png,img_094.png,noise,1,,,,
img_0012.png,img_094.png,noise,2,,,,
img_0013.png,img_094.png,noise,3,,,,
img_0014.png,img_094.png,noise,4,,,,
img_0015.png,img_094.png,noise,5,,,,
img_0016.png,img_094.png,blur,1,,,,
img_0017.png,img_094.png,blur,2,,,,
img_0018.png,img_094.png,blur,3,,,,
img_0019.png,img_094.png,blur,4,,,,
img_0020.png,img_094.png,blur,5,,,,
img_0021.png,img_094.png,resolution,1,,,,
img_0022.png,img_094.png,resolution,2,,,,
img_0023.png,img_094.png,resolution,3,,,,
img_0024.png,img_094.png,resolution,4,,,,
img_0025.png,img_094.png,resolution,5,,,,
img_0026.png,img_049.png,clean,0,,,,
img_0027.png,img_049.png,brightness,1,,,,
img_0028.png,img_049.png,brightness,2,,,,
img_0029.png,img_049.png,brightness,3,,,,
img_0030.png,img_049.png,brightness,4,,,,
img_0031.png,img_049.png,brightness,5,,,,
img_0032.png,img_049.png,contrast,1,,,,
img_0033.png,img_049.png,contrast,2,,,,
img_0034.png,img_049.png,contrast,3,,,,
img_0035.png,img_049.png,contrast,4,,,,
img_0036.png,img_049.png,contrast,5,,,,
img_0037.png,img_049.png,noise,1,,,,
img_0038.png,img_049.png,noise,2,,,,
img_0039.png,img_049.png,noise,3,,,,
img_0040.png,img_049.png,noise,4,,,,
img_0041.png,img_049.png,noise,5,,,,
img_0042.png,img_049.png,blur,1,,,,
img_0043.png,img_049.png,blur,2,,,,
img_0044.png,img_049.png,blur,3,,,,
img_0045.png,img_049.png,blur,4,,,,
img_0046.png,img_049.png,blur,5,,,,
img_0047.png,img_049.png,resolution,1,,,,
img_0048.png,img_049.png,resolution,2,,,,
img_0049.png,img_049.png,resolution,3,,,,
img_0050.png,img_049.png,resolution,4,,,,
img_0051.png,img_049.png,resolution,5,,,,
img_0052.png,img_042.png,clean,0,,,,
img_0053.png,img_042.png,brightness,1,,,,
img_0054.png,img_042.png,brightness,2,,,,
img_0055.png,img_042.png,brightness,3,,,,
img_0056.png,img_042.png,brightness,4,,,,
img_0057.png,img_042.png,brightness,5,,,,
img_0058.png,img_042.png,contrast,1,,,,
img_0059.png,img_042.png,contrast,2,,,,
img_0060.png,img_042.png,contrast,3,,,,
img_0061.png,img_042.png,contrast,4,,,,
img_0062.png,img_042.png,contrast,5,,,,
img_0063.png,img_042.png,noise,1,,,,
img_0064.png,img_042.png,noise,2,,,,
img_0065.png,img_042.png,noise,3,,,,
img_0066.png,img_042.png,noise,4,,,,
img_0067.png,img_042.png,noise,5,,,,
img_0068.png,img_042.png,blur,1,,,,
img_0069.png,img_042.png,blur,2,,,,
img_0070.png,img_042.png,blur,3,,,,
img_0071.png,img_042.png,blur,4,,,,
img_0072.png,img_042.png,blur,5,,,,
img_0073.png,img_042.png,resolution,1,,,,
img_0074.png,img_042.png,resolution,2,,,,
img_0075.png,img_042.png,resolution,3,,,,
img_0076.png,img_042.png,resolution,4,,,,
img_0077.png,img_042.png,resolution,5,,,,
img_0078.png,img_078.png,clean,0,,,,
img_0079.png,img_078.png,brightness,1,,,,
img_0080.png,img_078.png,brightness,2,,,,
img_0081.png,img_078.png,brightness,3,,,,
img_0082.png,img_078.png,brightness,4,,,,
img_0083.png,img_078.png,brightness,5,,,,
img_0084.png,img_078.png,contrast,1,,,,
img_0085.png,img_078.png,contrast,2,,,,
img_0086.png,img_078.png,contrast,3,,,,
img_0087.png,img_078.png,contrast,4,,,,
img_0088.png,img_078.png,contrast,5,,,,
img_0089.png,img_078.png,noise,1,,,,
img_0090.png,img_078.png,noise,2,,,,
img_0091.png,img_078.png,noise,3,,,,
img_0092.png,img_078.png,noise,4,,,,
img_0093.png,img_078.png,noise,5,,,,
img_0094.png,img_078.png,blur,1,,,,
img_0095.png,img_078.png,blur,2,,,,
img_0096.png,img_078.png,blur,3,,,,
img_0097.png,img_078.png,blur,4,,,,
img_0098.png,img_078.png,blur,5,,,,
img_0099.png,img_078.png,resolution,1,,,,
img_0100.png,img_078.png,resolution,2,,,,
img_0101.png,img_078.png,resolution,3,,,,
img_0102.png,img_078.png,resolution,4,,,,
img_0103.png,img_078.png,resolution,5,,,,
img_0104.png,img_007.png,clean,0,,,,
img_0105.png,img_007.png,brightness,1,,,,
img_0106.png,img_007.png,brightness,2,,,,
img_0107.png,img_007.png,brightness,3,,,,
img_0108.png,img_007.png,brightness,4,,,,
img_0109.png,img_007.png,brightness,5,,,,
img_0110.png,img_007.png,contrast,1,,,,
img_0111.png,img_007.png,contrast,2,,,,
img_0112.png,img_007.png,contrast,3,,,,
img_0113.png,img_007.png,contrast,4,,,,
img_0114.png,img_007.png,contrast,5,,,,
img_0115.png,img_007.png,noise,1,,,,
img_0116.png,img_007.png,noise,2,,,,
img_0117.png,img_007.png,noise,3,,,,
img_0118.png,img_007.png,noise,4,,,,
img_0119.png,img_007.png,noise,5,,,,
img_0120.png,img_007.png,blur,1,,,,
img_0121.png,img_007.png,blur,2,,,,
img_0122.png,img_007.png,blur,3,,,,
img_0123.png,img_007.png,blur,4,,,,
img_0124.png,img_007.png,blur,5,,,,
img_0125.png,img_007.png,resolution,1,,,,
img_0126.png,img_007.png,resolution,2,,,,
img_0127.png,img_007.png,resolution,3,,,,
img_0128.png,img_007.png,resolution,4,,,,
img_0129.png,img_007.png,resolution,5,,,,
img_0130.png,img_058.png,clean,0,,,,
img_0131.png,img_058.png,brightness,1,,,,
img_0132.png,img_058.png,brightness,2,,,,
img_0133.png,img_058.png,brightness,3,,,,
img_0134.png,img_058.png,brightness,4,,,,
img_0135.png,img_058.png,brightness,5,,,,
img_0136.png,img_058.png,contrast,1,,,,
img_0137.png,img_058.png,contrast,2,,,,
img_0138.png,img_058.png,contrast,3,,,,
img_0139.png,img_058.png,contrast,4,,,,
img_0140.png,img_058.png,contrast,5,,,,
img_0141.png,img_058.png,noise,1,,,,
img_0142.png,img_058.png,noise,2,,,,
img_0143.png,img_058.png,noise,3,,,,
img_0144.png,img_058.png,noise,4,,,,
img_0145.png,img_058.png,noise,5,,,,
img_0146.png,img_058.png,blur,1,,,,
img_0147.png,img_058.png,blur,2,,,,
img_0148.png,img_058.png,blur,3,,,,
img_0149.png,img_058.png,blur,4,,,,
img_0150.png,img_058.png,blur,5,,,,
img_0151.png,img_058.png,resolution,1,,,,
img_0152.png,img_058.png,resolution,2,,,,
img_0153.png,img_058.png,resolution,3,,,,
img_0154.png,img_058.png,resolution,4,,,,
img_0155.png,img_058.png,resolution,5,,,,
img_0156.png,img_034.png,clean,0,,,,
img_0157.png,img_034.png,brightness,1,,,,
img_0158.png,img_034.png,brightness,2,,,,
img_0159.png,img_034.png,brightness,3,,,,
img_0160.png,img_034.png,brightness,4,,,,
img_0161.png,img_034.png,brightness,5,,,,
img_0162.png,img_034.png,contrast,1,,,,
img_0163.png,img_034.png,contrast,2,,,,
img_0164.png,img_034.png,contrast,3,,,,
img_0165.png,img_034.png,contrast,4,,,,
img_0166.png,img_034.png,contrast,5,,,,
img_0167.png,img_034.png,noise,1,,,,
img_0168.png,img_034.png,noise,2,,,,
img_0169.png,img_034.png,noise,3,,,,
img_0170.png,img_034.png,noise,4,,,,
img_0171.png,img_034.png,noise,5,,,,
img_0172.png,img_034.png,blur,1,,,,
img_0173.png,img_034.png,blur,2,,,,
img_0174.png,img_034.png,blur,3,,,,
img_0175.png,img_034.png,blur,4,,,,
img_0176.png,img_034.png,blur,5,,,,
img_0177.png,img_034.png,resolution,1,,,,
img_0178.png,img_034.png,resolution,2,,,,
img_0179.png,img_034.png,resolution,3,,,,
img_0180.png,img_034.png,resolution,4,,,,
img_0181.png,img_034.png,resolution,5,,,,
img_0182.png,img_069.png,clean,0,,,,
img_0183.png,img_069.png,brightness,1,,,,
img_0184.png,img_069.png,brightness,2,,,,
img_0185.png,img_069.png,brightness,3,,,,
img_0186.png,img_069.png,brightness,4,,,,
img_0187.png,img_069.png,brightness,5,,,,
img_0188.png,img_069.png,contrast,1,,,,
img_0189.png,img_069.png,contrast,2,,,,
img_0190.png,img_069.png,contrast,3,,,,
img_0191.png,img_069.png,contrast,4,,,,
img_0192.png,img_069.png,contrast,5,,,,
img_0193.png,img_069.png,noise,1,,,,
img_0194.png,img_069.png,noise,2,,,,
img_0195.png,img_069.png,noise,3,,,,
img_0196.png,img_069.png,noise,4,,,,
img_0197.png,img_069.png,noise,5,,,,
img_0198.png,img_069.png,blur,1,,,,
img_0199.png,img_069.png,blur,2,,,,
img_0200.png,img_069.png,blur,3,,,,
img_0201.png,img_069.png,blur,4,,,,
img_0202.png,img_069.png,blur,5,,,,
